week_start,product_name,opening_stock,quantity_received,quantity_dispensed,closing_stock,stockout_flag
2020-01-06,AZT,2506,0,268,2238,0
2020-01-13,AZT,2238,0,241,1997,0
2020-01-20,AZT,1997,0,215,1782,0
2020-01-27,AZT,1782,0,251,1531,0
2020-02-03,AZT,1531,0,204,1327,0
2020-02-10,AZT,1327,0,252,1075,0
2020-02-17,AZT,1075,0,205,870,0
2020-02-24,AZT,870,0,189,681,0
2020-03-02,AZT,681,0,175,506,0
2020-03-09,AZT,506,0,196,310,0
2020-03-16,AZT,310,0,183,127,0
2020-03-23,AZT,127,0,127,0,1
2020-03-30,AZT,0,1610,184,1426,0
2020-04-06,AZT,1426,0,238,1188,0
2020-04-13,AZT,1188,0,249,939,0
2020-04-20,AZT,939,0,282,657,0
2020-04-27,AZT,657,0,277,380,0
2020-05-04,AZT,380,0,241,139,0
2020-05-11,AZT,139,1259,229,1169,0
2020-05-18,AZT,1169,0,254,915,0
2020-05-25,AZT,915,0,264,651,0
2020-06-01,AZT,651,0,115,536,0
2020-06-08,AZT,536,0,274,262,0
2020-06-15,AZT,262,0,262,0,1
2020-06-22,AZT,0,0,0,0,1
2020-06-29,AZT,0,1516,274,1242,0
2020-07-06,AZT,1242,0,193,1049,0
2020-07-13,AZT,1049,0,281,768,0
2020-07-20,AZT,768,0,267,501,0
2020-07-27,AZT,501,0,172,329,0
2020-08-03,AZT,329,0,240,89,0
2020-08-10,AZT,89,0,89,0,1
2020-08-17,AZT,0,1443,160,1283,0
2020-08-24,AZT,1283,0,249,1034,0
2020-08-31,AZT,1034,0,230,804,0
2020-09-07,AZT,804,0,219,585,0
2020-09-14,AZT,585,0,228,357,0
2020-09-21,AZT,357,0,237,120,0
2020-09-28,AZT,120,1651,203,1568,0
2020-10-05,AZT,1568,0,184,1384,0
2020-10-12,AZT,1384,0,211,1173,0
2020-10-19,AZT,1173,0,212,961,0
2020-10-26,AZT,961,0,210,751,0
2020-11-02,AZT,751,0,325,426,0
2020-11-09,AZT,426,0,253,173,0
2020-11-16,AZT,173,1117,251,1039,0
2020-11-23,AZT,1039,0,233,806,0
2020-11-30,AZT,806,0,176,630,0
2020-12-07,AZT,630,0,205,425,0
2020-12-14,AZT,425,0,346,79,0
2020-12-21,AZT,79,0,79,0,1
2020-12-28,AZT,0,1646,194,1452,0
2021-01-04,AZT,1452,0,208,1244,0
2021-01-11,AZT,1244,0,185,1059,0
2021-01-18,AZT,1059,0,173,886,0
2021-01-25,AZT,886,0,155,731,0
2021-02-01,AZT,731,0,210,521,0
2021-02-08,AZT,521,0,181,340,0
2021-02-15,AZT,340,0,198,142,0
2021-02-22,AZT,142,1233,257,1118,0
2021-03-01,AZT,1118,0,209,909,0
2021-03-08,AZT,909,0,159,750,0
2021-03-15,AZT,750,0,120,630,0
2021-03-22,AZT,630,0,166,464,0
2021-03-29,AZT,464,0,187,277,0
2021-04-05,AZT,277,0,165,112,0
2021-04-12,AZT,112,0,112,0,1
2021-04-19,AZT,0,0,0,0,1
2021-04-26,AZT,0,1776,208,1568,0
2021-05-03,AZT,1568,0,232,1336,0
